Date,explanation,lie,url
2017-04-29,The deal was struck in 2014.,"We're also getting NATO countries to finally step up and contribute their fair share. They've begun to increase their contributions by billions of dollars, but we are not going to be satisfied until everyone pays what they owe.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-29,China stopped in 2014.,"When they talk about currency manipulation, and I did say I would call China, if they were, a currency manipulator, early in my tenure. And then I get there. Number one, they — as soon as I got elected, they stopped.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-29,Most of the cuts were planned before Trump.,"I was negotiating to reduce the price of the big fighter jet contract, the F-35, which was totally out of control. I will save billions and billions and billions of dollars.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-29,There's still no evidence Trump's phones were tapped.,I think our side's been proven very strongly. And everybody's talking about it.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-01,The bill weakens protections for people with pre-existing conditions.,"Well, we are protecting pre-existing conditions. And it'll be every good — bit as good on pre-existing conditions as Obamacare.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-01,Much of the price cuts were planned before Trump.,"The F-35 fighter jet — I saved — I got involved in the negotiation. It's 2,500 jets. I negotiated for 90 planes, lot 10. I got $725 million off the price.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-01,China stopped years ago.,"First of all, since I started running, they haven't increased their — you know, they have not manipulated their currency. I think that was out of respect to me and the campaign.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-02,Much of the cost cuts were planned before Trump.,"I love buying those planes at a reduced price. I have been really — I have cut billions — I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-04,China stopped years ago.,"Number two, they’re actually not a currency [manipulator]. You know, since I’ve been talking about currency manipulation with respect to them and other countries, they stopped.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-04,We're not.,We’re the highest-taxed nation in the world.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-04,Polls show most Americans do care.,Nobody cares about my tax return except for the reporters.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-08,The deal was struck in 2014.,You know we’ve gotten billions of dollars more in NATO than we’re getting. All because of me.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-08,Colbert's Late Show debut had nearly two million more viewers.,"But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he’s ever had.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-08,Clapper only said he wasn't aware of an investigation.,"Director Clapper reiterated what everybody, including the fake media already knows — there is ‘no evidence’ of collusion w/ Russia and Trump.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-12,The F.B.I. was investigating before the election.,"Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-12,Clapper said he wouldn't have been told of an investigation into collusion.,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-13,The cost cuts were planned before he became president.,I'm cutting the price of airplanes with Lockheed.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-05-26,He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-01,The agreement doesn’t allow or disallow building coal plants.,"China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-01,Trump’s figures are inflated and premature.,"I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-04,The mayor was specifically talking about the enlarged police presence on the streets.,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-05,"Trump signed this version of the travel ban, not the Justice Department.","The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-20,"Republicans have won four special elections this year, while a Democrat won one.","Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.,They all say it's 'nonbinding.' Like hell it's nonbinding.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,We're not.,"Right now, we are one of the highest-taxed nations in the world.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,The real number of gang members deported is smaller.,"You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,They haven't.,Your insurance companies have all fled the state of Iowa.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,The Obama environmental rule to limit pollution in the country’s waters explicitly excludes puddles.,"If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,Cohn sold Goldman Sachs stock worth $220 million.,"Gary Cohn just paid $200 million in tax in order to take this job, by the way.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,"Republicans have won four special elections this year, while a Democrat won one.",We’re 5 and 0.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-21,Another coal mine opened in 2014.,"Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-22,"Johnson, who had a different title, didn't say that.",Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-23,"Republicans have won four special elections this year, while a Democrat won one.",We are 5 and 0 ... in these special elections.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-27,CNN's ratings were at a five-year high at the time.,Ratings way down!,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-28,Senate bill would have cut the program deeply.,Democrats purposely misstated Medicaid under new Senate bill — actually goes up.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-06-29,The real number of MS-13 gang members who have been deported is smaller.,"General Kelly and his whole group — they’ve gotten rid of 6,000 so far.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-07-06,NATO countries agreed to meet defense spending requirements in 2014.,"As a result of this insistence, billions of dollars more have begun to pour into NATO.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-07-17,"Clinton, Carter, Truman, and F.D.R. had signed more at the same point.","We’ve signed more bills — and I’m talking about through the legislature — than any president, ever.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-07-19,It is.,"Um, the Russian investigation — it’s not an investigation, it’s not on me — you know, they’re looking at a lot of things.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-07-19,"Presidents Clinton, Carter, Truman, and F.D.R. each had signed more legislation than Trump at the same point in their terms.","I heard that Harry Truman was first, and then we beat him. These are approved by Congress. These are not just executive orders.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-07-19,He reports directly to the attorney general.,"But the F.B.I. person really reports directly to the president of the United States, which is interesting.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
